method	DER	B3Precision	B3Recall	B3F1	TauRefSys	TauSysRef	CE	MI	NMI
diartk	84.08	0.323726341101079	0.347399204100614	0.335145261714395	0.190116750537614	0.127929631905189	2.0016258670109	0.618318528019438	0.243962061752145
diartk	135.13	0.648604875448042	0.411022323643513	0.503179010998813	0.197384028751731	0.392602149593151	0.812648863232194	0.536541510566182	0.313175568875695
diartk	94.83	0.399542199512172	0.724593263289705	0.515072419199171	0.0866716205564261	0.015534303219208	1.69136696726405	0.0813130130990979	0.0660435051271556
diartk	98.3	0.277303604683908	0.86229483409253	0.419652147033312	0.299024992994086	0.0517984068688915	2.25851121516796	0.241615281066524	0.198275983368372
diartk	88.05	0.443812006708187	0.685377610262255	0.538755950270689	0.184060966188224	0.156031357608512	1.78887177577899	0.326548301497985	0.222677523028173
diartk	84.22	0.482253735746411	0.711775849977353	0.574954870079856	0.390799066404492	0.279186173778415	1.36701789343813	0.809403055702416	0.436252578918507
diartk	98.5	0.231844545764948	0.865333615767643	0.365707022098489	0.170773777328085	0.0173978388033253	2.73838935599854	0.113900410114587	0.0968388370020316
diartk	98.2	0.485015462826893	0.536849432955084	0.509617812037296	0.0366263817103207	0.0913234398049344	1.28272283741268	0.136317127869683	0.09484909927293
diartk	107.29	0.355111083339092	0.555362306801011	0.433214880411731	0.152289670571803	0.0636765997636324	1.74161344492879	0.207604031273698	0.128713158190665
diartk	144.66	0.433666150406019	0.438024856627758	0.435834606123332	0.113201564437424	0.138287237754804	1.47305409786644	0.402841979321738	0.197858481698492
diartk	92.13	0.253260577601399	0.5557841469288	0.34796151511803	0.124406265505642	0.0966460073682816	2.6162708334933	0.417744717614447	0.186212756123749
diartk	105.03	0.281090393137204	0.584171898328322	0.37954990106571	0.110386051920587	0.0712084748949183	2.11193239384103	0.190074356818105	0.115589808266371
diartk	142.22	0.449087873341271	0.34425138024522	0.389742772843317	0.0746494535706548	0.0830336528059613	1.35094274000347	0.262236725732153	0.140982660292133
diartk	141.85	0.816260228652413	0.508012961553287	0.626261679573026	0.260876594970671	0.509585760298929	0.409397324396137	0.401345624333735	0.354304583333915
diartk	98.01	0.258729171422522	0.622917876034203	0.36560441368351	0.155010323781116	0.10565365731089	2.57922106696919	0.414939743856575	0.200810531706834
diartk	195.6	0.583801352472186	0.423185335514872	0.490684085832033	0.0927933416096261	0.239526251120049	1.1464507271535	0.324587095873531	0.190318310930663
diartk	79.15	0.502222705671738	0.53032591821135	0.515891864792432	0.267079795667424	0.179603652755351	1.42172159059449	0.546347910804039	0.286537254892351
diartk	170.52	0.547344550847367	0.447413077022752	0.492359350308457	0.0589111294943064	0.128681987936479	1.24189048453513	0.239007949409559	0.146100685246638
diartk	152.07	0.652814573201951	0.583812089544352	0.616388197905488	0.193346372117393	0.305567408104286	0.747786735192571	0.252149132694709	0.212436879406922
diartk	92.5	0.263160402950795	0.5547974308906	0.356988366462778	0.151778936180093	0.128184422448134	2.32277967061004	0.534771442350024	0.245340318769946
diartk	218.1	0.509920220774578	0.498686099171894	0.504240595677491	0.0977217256156609	0.135216101375862	1.26909383832259	0.306630637834863	0.183930917750511
diartk	198.53	0.597249455808158	0.697083063748016	0.64331610955637	0.033411244562154	0.0546545646577356	1.19105461918759	0.0942362899074251	0.081407153303557
diartk	95.73	0.312261918079814	0.689584909863631	0.429868320439636	0.126579264647336	0.0378573703569858	1.98452671660837	0.0937425818635122	0.0736296447011024
diartk	157.9	0.788182939306574	0.910847722141721	0.845087320892009	0.00423398738062158	0.00205892296645172	0.686561563465343	0.00572208292072183	0.0131528189710133
diartk	70.69	0.407475324053912	0.423111850719949	0.415146401773184	0.178864716897906	0.183463206917725	1.96258271358954	0.600446797887346	0.256931002607355
diartk	100	1	0.16739287331178	0.286780701062365	2.66685928822441e-16	1	0	-8.58792368001742e-16	-5.76325802284668e-08
diartk	128.89	0.331842779962828	0.612176126433235	0.4303859302946	0.1858636452632	0.111323809597274	2.02891731918759	0.259819745125441	0.148560984886023
diartk	142.59	0.476033465067192	0.489041418196835	0.482449776494542	0.114912660367155	0.16134037986965	1.53394453919109	0.382468061832904	0.197192916815452
diartk	201.33	0.523590486734262	0.488172059671691	0.505261332793024	0.264814980271773	0.244578655780987	1.29399148481179	0.504057697517628	0.276575136274834
diartk	100	0.994571878579611	0.926312554295592	0.959229406527758	0.068111321730143	0.0681113217301821	0.0152175596155602	0.0135829131368955	0.160739814201304
diartk	137.34	0.428681117872348	0.668840452595258	0.522484989109825	0.0886291807244251	0.0972055627574834	1.50720556980023	0.159733073070475	0.114284041246973
diartk	110.98	0.350360881931096	0.614263086240759	0.446212749701627	0.250070004205531	0.153047158955425	2.05112993251082	0.550843144125668	0.271430233822553
diartk	132.14	0.410514608112189	0.563822820388159	0.475107488198626	0.0952415110191922	0.112154055882451	1.71079866843653	0.304527048579978	0.176061462712733
diartk	92.2	0.255675810243275	0.70895846806133	0.375818141293904	0.165048337704433	0.0735491783213559	2.87282171447091	0.33917920210711	0.183309136327051
diartk	465.64	0.893434390739598	0.499827002338219	0.641032092797399	0.00736961568536776	0.0191875688149006	0.333413780666079	0.027650304578013	0.0357965217642478
diartk	99.43	0.428585123134124	0.815014663281088	0.561761369910394	0.0900580613139123	0.0236380238888422	1.81751153290337	0.101485478775431	0.0904953203762104
diartk	91.82	0.451571565356937	0.894865075594594	0.60024454278655	0.634841630849356	0.202866673266365	1.51180276003889	0.581172561918424	0.432973733463404
diartk	111.31	0.503016222914863	0.841002338741347	0.629511871286862	0.0592264454282351	0.0439456859344521	1.13546227083102	0.0753128244926481	0.0977865135616198
diartk	85.43	0.268796184385884	0.627061351821467	0.376291300643705	0.190195812409831	0.0838843236818452	2.54682244919499	0.390767428189358	0.192913250131507
diartk	96.27	0.198778542358628	0.594139492680662	0.297892536413059	0.2760761624457	0.107326381655717	2.98035530079804	0.555512441793089	0.23394613678611
diartk	438.1	0.927363071503444	0.502770728460083	0.652038301617174	0.0263430822329138	0.051387211635888	0.216043993049295	0.0520670906878738	0.0812281361030674
diartk	71.12	0.245165140507441	0.810328798986237	0.376438682264696	0.531058965911247	0.110964732511638	2.73019262538923	0.424679039441172	0.258211318712955
diartk	179.96	0.560410994696634	0.33488198630185	0.419240519098233	0.057092678441782	0.123685589192839	1.1636601495271	0.29084622530217	0.155161915753824
diartk	65.62	0.426937656005461	0.4276657872528	0.427301411441337	0.211971626732651	0.1679237645681	1.78490921407449	0.668381813174943	0.284384694424704
diartk	86.26	0.375635511136952	0.590729145478701	0.459244536700066	0.276053426776078	0.24670805915819	2.04269755446974	0.794824238833992	0.340012740977693
diartk	80.9	0.284760197641184	0.596422343987358	0.385475963328952	0.268726325338084	0.167892786162609	2.48203597161083	0.647467121810572	0.281692328605697
diartk	87.8	0.180834931594827	0.751270200566043	0.29150337368842	0.230649373626814	0.0703949582945883	3.06535826227383	0.408299996922109	0.215111209785094
diartk	270.42	0.65922838020033	0.498271441650392	0.567558921700868	0.0318001109792706	0.0630431397971696	0.864000257427753	0.104398459444479	0.0809060809098181
diartk	109.22	0.462256200749618	0.770494052943545	0.577839108200272	0.162537206662475	0.062349846705345	1.68785753422823	0.17625342898412	0.146438321976131
diartk	147.58	0.650205525369472	0.664714792516271	0.657380108908556	0.125091438073931	0.156303613811885	1.04735881477406	0.228340197696692	0.183879744964479
diartk	133.01	0.402842074365195	0.484049792575832	0.439728065631831	0.15306392864186	0.126391411647144	1.79670206610587	0.4503090711967	0.220301335186478
diartk	352.89	0.647781072033906	0.280270350509848	0.391258121484165	0.0636586141619801	0.089433174389447	0.928335446682523	0.180540985445894	0.109260282150606
diartk	97.27	0.271764214765369	0.674989652726885	0.387509445161198	0.366236582611458	0.140511287003837	2.38137699645066	0.608107679317686	0.297825877988953
diartk	100	0.993812020394294	0.729443485353197	0.841349064633182	0.00945433256605176	0.0293023407346145	0.0236088529902012	0.00750127868268098	0.0459924768619465
diartk	351.8	0.674308455018489	0.322061723169418	0.435920198587088	0.0985840120076836	0.199064831431878	0.815659743148393	0.231718080293972	0.150677588206126
diartk	89.67	0.909152265535315	0.3025198367056	0.453978587774046	0.0114835207341525	0.0550728097465015	0.271042836624412	0.0531058997718441	0.059023744291226
diartk	279.22	0.854074712114933	0.530780292029894	0.654690958627324	0.00639469692231112	0.0261697845243946	0.379587921141097	0.0281286195162145	0.0356797525257748
diartk	114.41	0.361214263833508	0.707857844416674	0.478336958183754	0.0835464111683296	0.0153513923671629	1.98064862471759	0.072622344689075	0.0597331881654303
diartk	140.83	0.511518700872313	0.376921470623344	0.434024455827023	0.108541930864707	0.236183876003389	1.29809814204853	0.432634429691621	0.217773069137275
diartk	96.48	0.597679453893324	0.539061717259042	0.566859230513428	0.0280406227543726	0.0529982669604944	0.949079933965253	0.0863106463996938	0.073457303056165
diartk	111.52	0.307828402943234	0.727245827908346	0.432562061888017	0.228473898131226	0.0967975067650412	2.06557075228968	0.337772050534038	0.204012954733858
diartk	95.15	0.1614331118721	0.77647140591928	0.267294149797741	0.374067384433469	0.0398612457228758	3.08037968921731	0.422380522692985	0.230891065915023
diartk	100.25	0.278557761644005	0.562738261195206	0.372651495251238	0.264232642707476	0.101758873373299	2.30698591576012	0.508487121570998	0.22791561884398
